trial,filename,order,size,density,fitness,time(seconds),Max_degree,Min_Degree,LB,UB,is_valid?
1,scen05,400,2598,0.03256,141,291.93804,59,1,119,205497, 9
2,scen05,400,2598,0.03256,141,324.54507,59,1,119,205497, 9
3,scen05,400,2598,0.03256,141,304.68934,59,1,119,205497, 9
4,scen05,400,2598,0.03256,141,333.30012,59,1,119,205497, 6
5,scen05,400,2598,0.03256,141,369.94255,59,1,119,205497, 9
6,scen05,400,2598,0.03256,140,349.28939,59,1,119,205497, 11
7,scen05,400,2598,0.03256,139,316.53260,59,1,119,205497, 9
8,scen05,400,2598,0.03256,140,301.94549,59,1,119,205497, 7
9,scen05,400,2598,0.03256,139,300.21194,59,1,119,205497, 8
10,scen05,400,2598,0.03256,143,303.03717,59,1,119,205497, 7
11,scen05,400,2598,0.03256,144,296.93594,59,1,119,205497, 6
12,scen05,400,2598,0.03256,143,333.63724,59,1,119,205497, 7
13,scen05,400,2598,0.03256,141,325.57811,59,1,119,205497, 10
14,scen05,400,2598,0.03256,140,326.69904,59,1,119,205497, 10
15,scen05,400,2598,0.03256,142,329.14925,59,1,119,205497, 7
16,scen05,400,2598,0.03256,140,326.34881,59,1,119,205497, 9
17,scen05,400,2598,0.03256,142,304.87934,59,1,119,205497, 9
18,scen05,400,2598,0.03256,139,321.59138,59,1,119,205497, 10
19,scen05,400,2598,0.03256,143,311.97152,59,1,119,205497, 6
20,scen05,400,2598,0.03256,142,340.67885,59,1,119,205497, 7
21,scen05,400,2598,0.03256,141,281.45859,59,1,119,205497, 6
22,scen05,400,2598,0.03256,142,329.22818,59,1,119,205497, 8
23,scen05,400,2598,0.03256,139,301.56868,59,1,119,205497, 12
24,scen05,400,2598,0.03256,140,320.05643,59,1,119,205497, 10
25,scen05,400,2598,0.03256,143,329.93766,59,1,119,205497, 6
26,scen05,400,2598,0.03256,140,328.64674,59,1,119,205497, 11
27,scen05,400,2598,0.03256,141,331.42923,59,1,119,205497, 10
28,scen05,400,2598,0.03256,142,337.84494,59,1,119,205497, 9
29,scen05,400,2598,0.03256,140,337.11121,59,1,119,205497, 8
30,scen05,400,2598,0.03256,141,280.02197,59,1,119,205497, 7
