trial,filename,order,size,density,fitness,time(seconds),Max_degree,Min_Degree,LB,UB
1,scen07,400,2865,0.03590,146,508.38452,62,3,125,238452
2,scen07,400,2865,0.03590,143,894.01988,62,3,125,238452
3,scen07,400,2865,0.03590,147,743.09233,62,3,125,238452
4,scen07,400,2865,0.03590,143,895.15931,62,3,125,238452
5,scen07,400,2865,0.03590,145,620.31049,62,3,125,238452
6,scen07,400,2865,0.03590,144,1252.79519,62,3,125,238452
7,scen07,400,2865,0.03590,142,913.12353,62,3,125,238452
8,scen07,400,2865,0.03590,145,838.34910,62,3,125,238452
9,scen07,400,2865,0.03590,140,1561.57764,62,3,125,238452
10,scen07,400,2865,0.03590,146,683.99028,62,3,125,238452
11,scen07,400,2865,0.03590,145,821.47943,62,3,125,238452
12,scen07,400,2865,0.03590,146,577.64609,62,3,125,238452
13,scen07,400,2865,0.03590,147,560.00914,62,3,125,238452
14,scen07,400,2865,0.03590,145,670.92147,62,3,125,238452
15,scen07,400,2865,0.03590,146,582.34367,62,3,125,238452
16,scen07,400,2865,0.03590,146,529.72641,62,3,125,238452
17,scen07,400,2865,0.03590,147,536.11956,62,3,125,238452
18,scen07,400,2865,0.03590,142,698.44632,62,3,125,238452
19,scen07,400,2865,0.03590,147,621.26659,62,3,125,238452
20,scen07,400,2865,0.03590,145,1013.00509,62,3,125,238452
21,scen07,400,2865,0.03590,141,1250.89376,62,3,125,238452
22,scen07,400,2865,0.03590,147,1050.73746,62,3,125,238452
23,scen07,400,2865,0.03590,143,1138.32377,62,3,125,238452
24,scen07,400,2865,0.03590,144,1462.14305,62,3,125,238452
25,scen07,400,2865,0.03590,144,1146.89261,62,3,125,238452
26,scen07,400,2865,0.03590,145,1683.84708,62,3,125,238452
27,scen07,400,2865,0.03590,146,1426.18437,62,3,125,238452
28,scen07,400,2865,0.03590,146,1109.81338,62,3,125,238452
29,scen07,400,2865,0.03590,148,850.08506,62,3,125,238452
30,scen07,400,2865,0.03590,146,780.43551,62,3,125,238452
