trial,filename,order,size,density,fitness,time(seconds),Max_degree,Min_Degree,LB,UB
1,dsjc125.1,125,736,0.09497,127,134.61839,23,5,47,12213
2,dsjc125.1,125,736,0.09497,127,107.07643,23,5,47,12213
3,dsjc125.1,125,736,0.09497,124,260.77656,23,5,47,12213
4,dsjc125.1,125,736,0.09497,124,178.35995,23,5,47,12213
5,dsjc125.1,125,736,0.09497,124,302.08126,23,5,47,12213
6,dsjc125.1,125,736,0.09497,125,142.85065,23,5,47,12213
7,dsjc125.1,125,736,0.09497,126,195.88160,23,5,47,12213
8,dsjc125.1,125,736,0.09497,125,176.01651,23,5,47,12213
9,dsjc125.1,125,736,0.09497,125,143.84656,23,5,47,12213
10,dsjc125.1,125,736,0.09497,124,182.86816,23,5,47,12213
11,dsjc125.1,125,736,0.09497,124,156.33692,23,5,47,12213
12,dsjc125.1,125,736,0.09497,124,193.32473,23,5,47,12213
13,dsjc125.1,125,736,0.09497,125,121.76513,23,5,47,12213
14,dsjc125.1,125,736,0.09497,125,249.95254,23,5,47,12213
15,dsjc125.1,125,736,0.09497,124,146.38897,23,5,47,12213
16,dsjc125.1,125,736,0.09497,127,155.57115,23,5,47,12213
17,dsjc125.1,125,736,0.09497,126,185.46945,23,5,47,12213
18,dsjc125.1,125,736,0.09497,123,237.72238,23,5,47,12213
19,dsjc125.1,125,736,0.09497,124,130.75721,23,5,47,12213
20,dsjc125.1,125,736,0.09497,124,262.39210,23,5,47,12213
21,dsjc125.1,125,736,0.09497,125,226.71006,23,5,47,12213
22,dsjc125.1,125,736,0.09497,124,197.58618,23,5,47,12213
23,dsjc125.1,125,736,0.09497,125,154.91621,23,5,47,12213
24,dsjc125.1,125,736,0.09497,126,163.56239,23,5,47,12213
25,dsjc125.1,125,736,0.09497,122,291.63589,23,5,47,12213
26,dsjc125.1,125,736,0.09497,124,246.33558,23,5,47,12213
27,dsjc125.1,125,736,0.09497,125,272.84880,23,5,47,12213
28,dsjc125.1,125,736,0.09497,126,134.39010,23,5,47,12213
29,dsjc125.1,125,736,0.09497,128,168.07564,23,5,47,12213
30,dsjc125.1,125,736,0.09497,127,234.36038,23,5,47,12213
