trial,filename,order,size,density,fitness,time(seconds),Max_degree,Min_Degree,LB,UB
1,r125.5,125,3838,0.49523,255,38.71761,99,23,199,970497
2,r125.5,125,3838,0.49523,254,26.76792,99,23,199,970497
3,r125.5,125,3838,0.49523,256,40.71297,99,23,199,970497
4,r125.5,125,3838,0.49523,250,82.76973,99,23,199,970497
5,r125.5,125,3838,0.49523,257,46.50003,99,23,199,970497
6,r125.5,125,3838,0.49523,255,68.54806,99,23,199,970497
7,r125.5,125,3838,0.49523,256,53.96254,99,23,199,970497
8,r125.5,125,3838,0.49523,252,66.52326,99,23,199,970497
9,r125.5,125,3838,0.49523,254,81.74607,99,23,199,970497
10,r125.5,125,3838,0.49523,253,77.34192,99,23,199,970497
11,r125.5,125,3838,0.49523,253,85.59647,99,23,199,970497
12,r125.5,125,3838,0.49523,256,83.68138,99,23,199,970497
13,r125.5,125,3838,0.49523,255,91.28296,99,23,199,970497
14,r125.5,125,3838,0.49523,253,83.69666,99,23,199,970497
15,r125.5,125,3838,0.49523,252,132.00979,99,23,199,970497
16,r125.5,125,3838,0.49523,254,74.82170,99,23,199,970497
17,r125.5,125,3838,0.49523,256,99.72263,99,23,199,970497
18,r125.5,125,3838,0.49523,253,103.59885,99,23,199,970497
19,r125.5,125,3838,0.49523,257,90.93620,99,23,199,970497
20,r125.5,125,3838,0.49523,249,90.81947,99,23,199,970497
21,r125.5,125,3838,0.49523,261,67.28804,99,23,199,970497
22,r125.5,125,3838,0.49523,255,144.41302,99,23,199,970497
23,r125.5,125,3838,0.49523,253,127.43906,99,23,199,970497
24,r125.5,125,3838,0.49523,252,118.40684,99,23,199,970497
25,r125.5,125,3838,0.49523,252,114.00810,99,23,199,970497
26,r125.5,125,3838,0.49523,250,135.34420,99,23,199,970497
27,r125.5,125,3838,0.49523,249,70.30394,99,23,199,970497
28,r125.5,125,3838,0.49523,254,61.73683,99,23,199,970497
29,r125.5,125,3838,0.49523,251,67.87158,99,23,199,970497
30,r125.5,125,3838,0.49523,254,97.30689,99,23,199,970497
