trial,filename,order,size,density,fitness,time(seconds),Max_degree,Min_Degree,LB,UB
1,ash85,85,219,0.06134,29,3.62087,9,2,19,747
2,ash85,85,219,0.06134,28,3.95503,9,2,19,747
3,ash85,85,219,0.06134,30,3.74943,9,2,19,747
4,ash85,85,219,0.06134,29,4.55241,9,2,19,747
5,ash85,85,219,0.06134,28,3.67490,9,2,19,747
6,ash85,85,219,0.06134,29,3.94401,9,2,19,747
7,ash85,85,219,0.06134,29,7.10169,9,2,19,747
8,ash85,85,219,0.06134,28,4.69735,9,2,19,747
9,ash85,85,219,0.06134,28,4.85777,9,2,19,747
10,ash85,85,219,0.06134,28,3.96214,9,2,19,747
11,ash85,85,219,0.06134,29,4.22139,9,2,19,747
12,ash85,85,219,0.06134,28,4.98709,9,2,19,747
13,ash85,85,219,0.06134,28,4.75598,9,2,19,747
14,ash85,85,219,0.06134,28,4.34709,9,2,19,747
15,ash85,85,219,0.06134,28,4.92262,9,2,19,747
16,ash85,85,219,0.06134,29,3.65032,9,2,19,747
17,ash85,85,219,0.06134,28,5.55769,9,2,19,747
18,ash85,85,219,0.06134,28,5.51715,9,2,19,747
19,ash85,85,219,0.06134,29,3.75920,9,2,19,747
20,ash85,85,219,0.06134,30,6.49258,9,2,19,747
21,ash85,85,219,0.06134,29,6.22020,9,2,19,747
22,ash85,85,219,0.06134,29,3.57021,9,2,19,747
23,ash85,85,219,0.06134,28,4.13878,9,2,19,747
24,ash85,85,219,0.06134,29,5.04685,9,2,19,747
25,ash85,85,219,0.06134,28,7.51056,9,2,19,747
26,ash85,85,219,0.06134,28,3.71188,9,2,19,747
27,ash85,85,219,0.06134,28,3.88469,9,2,19,747
28,ash85,85,219,0.06134,29,3.63421,9,2,19,747
29,ash85,85,219,0.06134,29,3.77244,9,2,19,747
30,ash85,85,219,0.06134,29,4.57114,9,2,19,747
