trial,filename,order,size,density,fitness,time(seconds),Max_degree,Min_Degree,LB,UB
1,bcspwr03,118,179,0.02593,21,7.85630,9,1,19,747
2,bcspwr03,118,179,0.02593,22,5.07846,9,1,19,747
3,bcspwr03,118,179,0.02593,21,6.03187,9,1,19,747
4,bcspwr03,118,179,0.02593,23,4.45971,9,1,19,747
5,bcspwr03,118,179,0.02593,22,7.29695,9,1,19,747
6,bcspwr03,118,179,0.02593,22,7.59978,9,1,19,747
7,bcspwr03,118,179,0.02593,22,3.85654,9,1,19,747
8,bcspwr03,118,179,0.02593,22,4.23828,9,1,19,747
9,bcspwr03,118,179,0.02593,22,3.75536,9,1,19,747
10,bcspwr03,118,179,0.02593,22,4.18267,9,1,19,747
11,bcspwr03,118,179,0.02593,21,7.32631,9,1,19,747
12,bcspwr03,118,179,0.02593,22,4.07436,9,1,19,747
13,bcspwr03,118,179,0.02593,22,5.92596,9,1,19,747
14,bcspwr03,118,179,0.02593,22,4.56013,9,1,19,747
15,bcspwr03,118,179,0.02593,22,4.28779,9,1,19,747
16,bcspwr03,118,179,0.02593,21,7.11361,9,1,19,747
17,bcspwr03,118,179,0.02593,22,4.20096,9,1,19,747
18,bcspwr03,118,179,0.02593,22,4.68167,9,1,19,747
19,bcspwr03,118,179,0.02593,22,5.37282,9,1,19,747
20,bcspwr03,118,179,0.02593,21,5.12179,9,1,19,747
21,bcspwr03,118,179,0.02593,22,4.07912,9,1,19,747
22,bcspwr03,118,179,0.02593,22,4.32281,9,1,19,747
23,bcspwr03,118,179,0.02593,22,4.22761,9,1,19,747
24,bcspwr03,118,179,0.02593,22,4.26734,9,1,19,747
25,bcspwr03,118,179,0.02593,22,4.90885,9,1,19,747
26,bcspwr03,118,179,0.02593,21,7.19280,9,1,19,747
27,bcspwr03,118,179,0.02593,21,5.78279,9,1,19,747
28,bcspwr03,118,179,0.02593,21,8.01480,9,1,19,747
29,bcspwr03,118,179,0.02593,21,5.14282,9,1,19,747
30,bcspwr03,118,179,0.02593,22,4.19148,9,1,19,747
