trial,filename,order,size,density,fitness,time(seconds),Max_degree,Min_Degree,LB,UB
1,bcsstk01,48,176,0.15603,45,3.90424,11,4,23,1353
2,bcsstk01,48,176,0.15603,44,5.26145,11,4,23,1353
3,bcsstk01,48,176,0.15603,44,3.80992,11,4,23,1353
4,bcsstk01,48,176,0.15603,46,2.75972,11,4,23,1353
5,bcsstk01,48,176,0.15603,45,2.99459,11,4,23,1353
6,bcsstk01,48,176,0.15603,45,4.08081,11,4,23,1353
7,bcsstk01,48,176,0.15603,45,4.30071,11,4,23,1353
8,bcsstk01,48,176,0.15603,44,2.83526,11,4,23,1353
9,bcsstk01,48,176,0.15603,46,3.18687,11,4,23,1353
10,bcsstk01,48,176,0.15603,44,4.81464,11,4,23,1353
11,bcsstk01,48,176,0.15603,45,2.96616,11,4,23,1353
12,bcsstk01,48,176,0.15603,44,3.10604,11,4,23,1353
13,bcsstk01,48,176,0.15603,44,4.81160,11,4,23,1353
14,bcsstk01,48,176,0.15603,44,5.67609,11,4,23,1353
15,bcsstk01,48,176,0.15603,45,2.82610,11,4,23,1353
16,bcsstk01,48,176,0.15603,45,3.72282,11,4,23,1353
17,bcsstk01,48,176,0.15603,44,4.54094,11,4,23,1353
18,bcsstk01,48,176,0.15603,45,2.73830,11,4,23,1353
19,bcsstk01,48,176,0.15603,45,5.53248,11,4,23,1353
20,bcsstk01,48,176,0.15603,44,2.88361,11,4,23,1353
21,bcsstk01,48,176,0.15603,44,4.82774,11,4,23,1353
22,bcsstk01,48,176,0.15603,44,2.90753,11,4,23,1353
23,bcsstk01,48,176,0.15603,44,5.07520,11,4,23,1353
24,bcsstk01,48,176,0.15603,45,2.90776,11,4,23,1353
25,bcsstk01,48,176,0.15603,45,2.49702,11,4,23,1353
26,bcsstk01,48,176,0.15603,45,3.09833,11,4,23,1353
27,bcsstk01,48,176,0.15603,46,2.53020,11,4,23,1353
28,bcsstk01,48,176,0.15603,46,2.60492,11,4,23,1353
29,bcsstk01,48,176,0.15603,45,2.70615,11,4,23,1353
30,bcsstk01,48,176,0.15603,44,3.82237,11,4,23,1353
