trial,filename,order,size,density,fitness,time(seconds),Max_degree,Min_Degree,LB,UB
1,can___73,73,152,0.05784,31,3.58140,8,2,17,528
2,can___73,73,152,0.05784,31,5.49837,8,2,17,528
3,can___73,73,152,0.05784,30,3.04570,8,2,17,528
4,can___73,73,152,0.05784,31,3.01364,8,2,17,528
5,can___73,73,152,0.05784,31,5.39634,8,2,17,528
6,can___73,73,152,0.05784,31,3.70071,8,2,17,528
7,can___73,73,152,0.05784,29,4.85395,8,2,17,528
8,can___73,73,152,0.05784,31,3.26047,8,2,17,528
9,can___73,73,152,0.05784,30,4.84210,8,2,17,528
10,can___73,73,152,0.05784,31,3.32080,8,2,17,528
11,can___73,73,152,0.05784,31,3.23733,8,2,17,528
12,can___73,73,152,0.05784,29,3.30090,8,2,17,528
13,can___73,73,152,0.05784,30,5.08787,8,2,17,528
14,can___73,73,152,0.05784,31,3.03775,8,2,17,528
15,can___73,73,152,0.05784,30,6.00593,8,2,17,528
16,can___73,73,152,0.05784,30,3.65320,8,2,17,528
17,can___73,73,152,0.05784,31,4.16126,8,2,17,528
18,can___73,73,152,0.05784,29,3.06818,8,2,17,528
19,can___73,73,152,0.05784,31,3.20912,8,2,17,528
20,can___73,73,152,0.05784,30,3.43556,8,2,17,528
21,can___73,73,152,0.05784,30,3.91689,8,2,17,528
22,can___73,73,152,0.05784,31,3.39526,8,2,17,528
23,can___73,73,152,0.05784,29,4.69997,8,2,17,528
24,can___73,73,152,0.05784,31,5.55633,8,2,17,528
25,can___73,73,152,0.05784,30,3.71985,8,2,17,528
26,can___73,73,152,0.05784,30,3.38357,8,2,17,528
27,can___73,73,152,0.05784,29,3.33043,8,2,17,528
28,can___73,73,152,0.05784,31,3.37006,8,2,17,528
29,can___73,73,152,0.05784,32,3.26592,8,2,17,528
30,can___73,73,152,0.05784,29,6.25352,8,2,17,528
