trial,filename,order,size,density,fitness,time(seconds),Max_degree,Min_Degree,LB,UB
1,ck104,104,444,0.08290,32,16.69572,9,5,19,747
2,ck104,104,444,0.08290,32,12.12873,9,5,19,747
3,ck104,104,444,0.08290,32,10.85398,9,5,19,747
4,ck104,104,444,0.08290,32,6.78886,9,5,19,747
5,ck104,104,444,0.08290,32,8.49476,9,5,19,747
6,ck104,104,444,0.08290,32,9.98764,9,5,19,747
7,ck104,104,444,0.08290,32,10.56492,9,5,19,747
8,ck104,104,444,0.08290,31,11.84201,9,5,19,747
9,ck104,104,444,0.08290,32,7.37121,9,5,19,747
10,ck104,104,444,0.08290,31,7.54231,9,5,19,747
11,ck104,104,444,0.08290,32,11.86981,9,5,19,747
12,ck104,104,444,0.08290,33,8.21474,9,5,19,747
13,ck104,104,444,0.08290,32,8.90481,9,5,19,747
14,ck104,104,444,0.08290,33,7.02564,9,5,19,747
15,ck104,104,444,0.08290,31,8.54450,9,5,19,747
16,ck104,104,444,0.08290,32,8.85924,9,5,19,747
17,ck104,104,444,0.08290,34,7.11101,9,5,19,747
18,ck104,104,444,0.08290,33,7.79224,9,5,19,747
19,ck104,104,444,0.08290,33,7.20200,9,5,19,747
20,ck104,104,444,0.08290,33,7.21912,9,5,19,747
21,ck104,104,444,0.08290,33,7.80147,9,5,19,747
22,ck104,104,444,0.08290,32,11.39433,9,5,19,747
23,ck104,104,444,0.08290,32,12.89517,9,5,19,747
24,ck104,104,444,0.08290,32,8.74149,9,5,19,747
25,ck104,104,444,0.08290,32,7.42439,9,5,19,747
26,ck104,104,444,0.08290,33,7.86924,9,5,19,747
27,ck104,104,444,0.08290,32,7.93647,9,5,19,747
28,ck104,104,444,0.08290,32,10.01478,9,5,19,747
29,ck104,104,444,0.08290,33,6.62853,9,5,19,747
30,ck104,104,444,0.08290,34,11.90183,9,5,19,747
