trial,filename,order,size,density,fitness,time(seconds),Max_degree,Min_Degree,LB,UB
1,curtis54,54,124,0.08665,32,1.57693,15,2,31,3405
2,curtis54,54,124,0.08665,32,1.86858,15,2,31,3405
3,curtis54,54,124,0.08665,31,2.24643,15,2,31,3405
4,curtis54,54,124,0.08665,32,2.36866,15,2,31,3405
5,curtis54,54,124,0.08665,32,2.05967,15,2,31,3405
6,curtis54,54,124,0.08665,32,1.98835,15,2,31,3405
7,curtis54,54,124,0.08665,32,1.68068,15,2,31,3405
8,curtis54,54,124,0.08665,31,2.21635,15,2,31,3405
9,curtis54,54,124,0.08665,32,1.72877,15,2,31,3405
10,curtis54,54,124,0.08665,31,2.80325,15,2,31,3405
11,curtis54,54,124,0.08665,31,1.95123,15,2,31,3405
12,curtis54,54,124,0.08665,33,3.04955,15,2,31,3405
13,curtis54,54,124,0.08665,32,2.60186,15,2,31,3405
14,curtis54,54,124,0.08665,31,3.15765,15,2,31,3405
15,curtis54,54,124,0.08665,32,3.38572,15,2,31,3405
16,curtis54,54,124,0.08665,31,5.15624,15,2,31,3405
17,curtis54,54,124,0.08665,31,2.15339,15,2,31,3405
18,curtis54,54,124,0.08665,33,2.11887,15,2,31,3405
19,curtis54,54,124,0.08665,32,1.94957,15,2,31,3405
20,curtis54,54,124,0.08665,31,3.73803,15,2,31,3405
21,curtis54,54,124,0.08665,31,2.81737,15,2,31,3405
22,curtis54,54,124,0.08665,32,2.11233,15,2,31,3405
23,curtis54,54,124,0.08665,32,1.67192,15,2,31,3405
24,curtis54,54,124,0.08665,31,2.21936,15,2,31,3405
25,curtis54,54,124,0.08665,33,1.85018,15,2,31,3405
26,curtis54,54,124,0.08665,31,1.59187,15,2,31,3405
27,curtis54,54,124,0.08665,33,1.47534,15,2,31,3405
28,curtis54,54,124,0.08665,32,1.54090,15,2,31,3405
29,curtis54,54,124,0.08665,31,2.17041,15,2,31,3405
30,curtis54,54,124,0.08665,33,1.56405,15,2,31,3405
