trial,filename,order,size,density,fitness,time(seconds),Max_degree,Min_Degree,LB,UB
1,dwt___87,87,227,0.06068,36,5.26549,12,1,25,1752
2,dwt___87,87,227,0.06068,35,5.12718,12,1,25,1752
3,dwt___87,87,227,0.06068,34,4.73536,12,1,25,1752
4,dwt___87,87,227,0.06068,34,4.76451,12,1,25,1752
5,dwt___87,87,227,0.06068,34,5.49993,12,1,25,1752
6,dwt___87,87,227,0.06068,35,4.66031,12,1,25,1752
7,dwt___87,87,227,0.06068,33,5.55888,12,1,25,1752
8,dwt___87,87,227,0.06068,34,4.68031,12,1,25,1752
9,dwt___87,87,227,0.06068,36,4.55858,12,1,25,1752
10,dwt___87,87,227,0.06068,34,5.52875,12,1,25,1752
11,dwt___87,87,227,0.06068,35,5.93459,12,1,25,1752
12,dwt___87,87,227,0.06068,35,4.97585,12,1,25,1752
13,dwt___87,87,227,0.06068,34,9.17559,12,1,25,1752
14,dwt___87,87,227,0.06068,34,5.38833,12,1,25,1752
15,dwt___87,87,227,0.06068,34,7.62900,12,1,25,1752
16,dwt___87,87,227,0.06068,35,4.89251,12,1,25,1752
17,dwt___87,87,227,0.06068,35,6.06525,12,1,25,1752
18,dwt___87,87,227,0.06068,37,4.57147,12,1,25,1752
19,dwt___87,87,227,0.06068,33,7.44453,12,1,25,1752
20,dwt___87,87,227,0.06068,35,5.07622,12,1,25,1752
21,dwt___87,87,227,0.06068,33,11.68151,12,1,25,1752
22,dwt___87,87,227,0.06068,33,6.19562,12,1,25,1752
23,dwt___87,87,227,0.06068,34,6.81488,12,1,25,1752
24,dwt___87,87,227,0.06068,35,4.51142,12,1,25,1752
25,dwt___87,87,227,0.06068,33,11.23492,12,1,25,1752
26,dwt___87,87,227,0.06068,34,8.45708,12,1,25,1752
27,dwt___87,87,227,0.06068,34,5.72994,12,1,25,1752
28,dwt___87,87,227,0.06068,36,4.49835,12,1,25,1752
29,dwt___87,87,227,0.06068,34,6.06637,12,1,25,1752
30,dwt___87,87,227,0.06068,34,4.83800,12,1,25,1752
