trial,filename,order,size,density,fitness,time(seconds),Max_degree,Min_Degree,LB,UB
1,fidap005,27,126,0.35897,39,1.05764,14,5,29,2772
2,fidap005,27,126,0.35897,38,1.10783,14,5,29,2772
3,fidap005,27,126,0.35897,38,0.56831,14,5,29,2772
4,fidap005,27,126,0.35897,37,0.92579,14,5,29,2772
5,fidap005,27,126,0.35897,38,0.77363,14,5,29,2772
6,fidap005,27,126,0.35897,39,1.11468,14,5,29,2772
7,fidap005,27,126,0.35897,38,0.56842,14,5,29,2772
8,fidap005,27,126,0.35897,39,0.45289,14,5,29,2772
9,fidap005,27,126,0.35897,38,0.64419,14,5,29,2772
10,fidap005,27,126,0.35897,39,0.56734,14,5,29,2772
11,fidap005,27,126,0.35897,39,0.62336,14,5,29,2772
12,fidap005,27,126,0.35897,38,0.41905,14,5,29,2772
13,fidap005,27,126,0.35897,40,0.49408,14,5,29,2772
14,fidap005,27,126,0.35897,40,0.46852,14,5,29,2772
15,fidap005,27,126,0.35897,41,0.65543,14,5,29,2772
16,fidap005,27,126,0.35897,40,0.69822,14,5,29,2772
17,fidap005,27,126,0.35897,38,0.58688,14,5,29,2772
18,fidap005,27,126,0.35897,40,0.79301,14,5,29,2772
19,fidap005,27,126,0.35897,39,0.64690,14,5,29,2772
20,fidap005,27,126,0.35897,39,0.48507,14,5,29,2772
21,fidap005,27,126,0.35897,37,0.49166,14,5,29,2772
22,fidap005,27,126,0.35897,38,0.61292,14,5,29,2772
23,fidap005,27,126,0.35897,40,0.56822,14,5,29,2772
24,fidap005,27,126,0.35897,38,0.76814,14,5,29,2772
25,fidap005,27,126,0.35897,38,0.49951,14,5,29,2772
26,fidap005,27,126,0.35897,38,0.88535,14,5,29,2772
27,fidap005,27,126,0.35897,39,0.57343,14,5,29,2772
28,fidap005,27,126,0.35897,38,0.70554,14,5,29,2772
29,fidap005,27,126,0.35897,37,0.66310,14,5,29,2772
30,fidap005,27,126,0.35897,38,0.43324,14,5,29,2772
