trial,filename,order,size,density,fitness,time(seconds),Max_degree,Min_Degree,LB,UB
1,ibm32,32,90,0.18145,35,1.29809,11,3,23,1353
2,ibm32,32,90,0.18145,34,1.24903,11,3,23,1353
3,ibm32,32,90,0.18145,34,0.91423,11,3,23,1353
4,ibm32,32,90,0.18145,36,1.22968,11,3,23,1353
5,ibm32,32,90,0.18145,36,1.79713,11,3,23,1353
6,ibm32,32,90,0.18145,35,1.31648,11,3,23,1353
7,ibm32,32,90,0.18145,36,1.28873,11,3,23,1353
8,ibm32,32,90,0.18145,36,0.80327,11,3,23,1353
9,ibm32,32,90,0.18145,35,1.60870,11,3,23,1353
10,ibm32,32,90,0.18145,35,1.14285,11,3,23,1353
11,ibm32,32,90,0.18145,38,2.02335,11,3,23,1353
12,ibm32,32,90,0.18145,35,0.81153,11,3,23,1353
13,ibm32,32,90,0.18145,35,0.82697,11,3,23,1353
14,ibm32,32,90,0.18145,34,1.76994,11,3,23,1353
15,ibm32,32,90,0.18145,36,0.94459,11,3,23,1353
16,ibm32,32,90,0.18145,35,0.83319,11,3,23,1353
17,ibm32,32,90,0.18145,34,1.79461,11,3,23,1353
18,ibm32,32,90,0.18145,36,1.07204,11,3,23,1353
19,ibm32,32,90,0.18145,36,1.04872,11,3,23,1353
20,ibm32,32,90,0.18145,35,1.22229,11,3,23,1353
21,ibm32,32,90,0.18145,35,1.41995,11,3,23,1353
22,ibm32,32,90,0.18145,34,2.10076,11,3,23,1353
23,ibm32,32,90,0.18145,34,1.08982,11,3,23,1353
24,ibm32,32,90,0.18145,36,1.07920,11,3,23,1353
25,ibm32,32,90,0.18145,34,1.15660,11,3,23,1353
26,ibm32,32,90,0.18145,35,1.27380,11,3,23,1353
27,ibm32,32,90,0.18145,35,1.70387,11,3,23,1353
28,ibm32,32,90,0.18145,36,1.80027,11,3,23,1353
29,ibm32,32,90,0.18145,38,1.32783,11,3,23,1353
30,ibm32,32,90,0.18145,35,1.18032,11,3,23,1353
