trial,filename,order,size,density,fitness,time(seconds),Max_degree,Min_Degree,LB,UB
1,impcol_b,59,281,0.16423,61,10.10653,17,2,35,4947
2,impcol_b,59,281,0.16423,60,9.88177,17,2,35,4947
3,impcol_b,59,281,0.16423,62,14.87067,17,2,35,4947
4,impcol_b,59,281,0.16423,65,11.53289,17,2,35,4947
5,impcol_b,59,281,0.16423,59,11.01279,17,2,35,4947
6,impcol_b,59,281,0.16423,62,15.26818,17,2,35,4947
7,impcol_b,59,281,0.16423,63,7.93051,17,2,35,4947
8,impcol_b,59,281,0.16423,60,15.27310,17,2,35,4947
9,impcol_b,59,281,0.16423,60,12.88566,17,2,35,4947
10,impcol_b,59,281,0.16423,63,10.40737,17,2,35,4947
11,impcol_b,59,281,0.16423,63,10.83711,17,2,35,4947
12,impcol_b,59,281,0.16423,63,11.67680,17,2,35,4947
13,impcol_b,59,281,0.16423,63,16.57055,17,2,35,4947
14,impcol_b,59,281,0.16423,62,16.08234,17,2,35,4947
15,impcol_b,59,281,0.16423,62,10.26394,17,2,35,4947
16,impcol_b,59,281,0.16423,59,23.07737,17,2,35,4947
17,impcol_b,59,281,0.16423,63,10.55618,17,2,35,4947
18,impcol_b,59,281,0.16423,62,20.69049,17,2,35,4947
19,impcol_b,59,281,0.16423,59,19.44960,17,2,35,4947
20,impcol_b,59,281,0.16423,65,12.56133,17,2,35,4947
21,impcol_b,59,281,0.16423,59,15.62911,17,2,35,4947
22,impcol_b,59,281,0.16423,64,8.85059,17,2,35,4947
23,impcol_b,59,281,0.16423,61,19.73946,17,2,35,4947
24,impcol_b,59,281,0.16423,62,13.31360,17,2,35,4947
25,impcol_b,59,281,0.16423,59,14.86161,17,2,35,4947
26,impcol_b,59,281,0.16423,61,15.67464,17,2,35,4947
27,impcol_b,59,281,0.16423,62,14.57997,17,2,35,4947
28,impcol_b,59,281,0.16423,63,12.41957,17,2,35,4947
29,impcol_b,59,281,0.16423,61,9.77193,17,2,35,4947
30,impcol_b,59,281,0.16423,62,15.93563,17,2,35,4947
