trial,filename,order,size,density,fitness,time(seconds),Max_degree,Min_Degree,LB,UB
1,jgl011,11,49,0.89091,29,0.04873,10,4,21,1020
2,jgl011,11,49,0.89091,28,0.06337,10,4,21,1020
3,jgl011,11,49,0.89091,29,0.03135,10,4,21,1020
4,jgl011,11,49,0.89091,29,0.03978,10,4,21,1020
5,jgl011,11,49,0.89091,29,0.04430,10,4,21,1020
6,jgl011,11,49,0.89091,29,0.03303,10,4,21,1020
7,jgl011,11,49,0.89091,28,0.03374,10,4,21,1020
8,jgl011,11,49,0.89091,28,0.03258,10,4,21,1020
9,jgl011,11,49,0.89091,29,0.02704,10,4,21,1020
10,jgl011,11,49,0.89091,29,0.03930,10,4,21,1020
11,jgl011,11,49,0.89091,28,0.04062,10,4,21,1020
12,jgl011,11,49,0.89091,28,0.03561,10,4,21,1020
13,jgl011,11,49,0.89091,29,0.04313,10,4,21,1020
14,jgl011,11,49,0.89091,28,0.04114,10,4,21,1020
15,jgl011,11,49,0.89091,28,0.03585,10,4,21,1020
16,jgl011,11,49,0.89091,28,0.05102,10,4,21,1020
17,jgl011,11,49,0.89091,28,0.04610,10,4,21,1020
18,jgl011,11,49,0.89091,28,0.06813,10,4,21,1020
19,jgl011,11,49,0.89091,28,0.03536,10,4,21,1020
20,jgl011,11,49,0.89091,28,0.05740,10,4,21,1020
21,jgl011,11,49,0.89091,28,0.03733,10,4,21,1020
22,jgl011,11,49,0.89091,28,0.05696,10,4,21,1020
23,jgl011,11,49,0.89091,28,0.03722,10,4,21,1020
24,jgl011,11,49,0.89091,29,0.03821,10,4,21,1020
25,jgl011,11,49,0.89091,29,0.03720,10,4,21,1020
26,jgl011,11,49,0.89091,28,0.04552,10,4,21,1020
27,jgl011,11,49,0.89091,29,0.03817,10,4,21,1020
28,jgl011,11,49,0.89091,29,0.02798,10,4,21,1020
29,jgl011,11,49,0.89091,29,0.02865,10,4,21,1020
30,jgl011,11,49,0.89091,28,0.03553,10,4,21,1020
