trial,filename,order,size,density,fitness,time(seconds),Max_degree,Min_Degree,LB,UB
1,olm100,100,197,0.03980,18,3.97107,5,2,11,135
2,olm100,100,197,0.03980,18,3.96357,5,2,11,135
3,olm100,100,197,0.03980,19,2.30190,5,2,11,135
4,olm100,100,197,0.03980,19,3.57936,5,2,11,135
5,olm100,100,197,0.03980,18,3.42149,5,2,11,135
6,olm100,100,197,0.03980,19,2.69594,5,2,11,135
7,olm100,100,197,0.03980,18,2.25824,5,2,11,135
8,olm100,100,197,0.03980,18,2.82581,5,2,11,135
9,olm100,100,197,0.03980,18,2.61998,5,2,11,135
10,olm100,100,197,0.03980,19,2.42595,5,2,11,135
11,olm100,100,197,0.03980,19,2.40125,5,2,11,135
12,olm100,100,197,0.03980,19,2.59803,5,2,11,135
13,olm100,100,197,0.03980,18,2.78893,5,2,11,135
14,olm100,100,197,0.03980,18,2.81398,5,2,11,135
15,olm100,100,197,0.03980,19,2.51486,5,2,11,135
16,olm100,100,197,0.03980,19,2.40648,5,2,11,135
17,olm100,100,197,0.03980,19,2.52464,5,2,11,135
18,olm100,100,197,0.03980,18,3.12915,5,2,11,135
19,olm100,100,197,0.03980,18,3.88068,5,2,11,135
20,olm100,100,197,0.03980,19,2.27880,5,2,11,135
21,olm100,100,197,0.03980,19,2.36503,5,2,11,135
22,olm100,100,197,0.03980,18,4.88033,5,2,11,135
23,olm100,100,197,0.03980,19,2.38993,5,2,11,135
24,olm100,100,197,0.03980,19,2.61909,5,2,11,135
25,olm100,100,197,0.03980,18,4.12725,5,2,11,135
26,olm100,100,197,0.03980,18,2.61482,5,2,11,135
27,olm100,100,197,0.03980,19,2.24581,5,2,11,135
28,olm100,100,197,0.03980,18,2.44871,5,2,11,135
29,olm100,100,197,0.03980,19,2.27720,5,2,11,135
30,olm100,100,197,0.03980,19,2.37991,5,2,11,135
