trial,filename,order,size,density,fitness,time(seconds),Max_degree,Min_Degree,LB,UB
1,pores_1,30,103,0.23678,24,0.86127,9,5,19,747
2,pores_1,30,103,0.23678,25,0.82805,9,5,19,747
3,pores_1,30,103,0.23678,25,0.93997,9,5,19,747
4,pores_1,30,103,0.23678,24,0.98349,9,5,19,747
5,pores_1,30,103,0.23678,24,0.66231,9,5,19,747
6,pores_1,30,103,0.23678,26,0.72586,9,5,19,747
7,pores_1,30,103,0.23678,27,0.48866,9,5,19,747
8,pores_1,30,103,0.23678,25,0.56840,9,5,19,747
9,pores_1,30,103,0.23678,26,0.47605,9,5,19,747
10,pores_1,30,103,0.23678,27,1.14805,9,5,19,747
11,pores_1,30,103,0.23678,26,0.69645,9,5,19,747
12,pores_1,30,103,0.23678,25,0.95641,9,5,19,747
13,pores_1,30,103,0.23678,26,0.84905,9,5,19,747
14,pores_1,30,103,0.23678,25,0.50385,9,5,19,747
15,pores_1,30,103,0.23678,24,0.78653,9,5,19,747
16,pores_1,30,103,0.23678,24,0.88368,9,5,19,747
17,pores_1,30,103,0.23678,26,0.88361,9,5,19,747
18,pores_1,30,103,0.23678,27,0.51351,9,5,19,747
19,pores_1,30,103,0.23678,24,0.55617,9,5,19,747
20,pores_1,30,103,0.23678,25,0.63460,9,5,19,747
21,pores_1,30,103,0.23678,26,0.72233,9,5,19,747
22,pores_1,30,103,0.23678,25,0.61233,9,5,19,747
23,pores_1,30,103,0.23678,25,0.87177,9,5,19,747
24,pores_1,30,103,0.23678,25,0.82972,9,5,19,747
25,pores_1,30,103,0.23678,25,0.62051,9,5,19,747
26,pores_1,30,103,0.23678,24,0.89593,9,5,19,747
27,pores_1,30,103,0.23678,25,0.54166,9,5,19,747
28,pores_1,30,103,0.23678,24,1.00521,9,5,19,747
29,pores_1,30,103,0.23678,25,0.51674,9,5,19,747
30,pores_1,30,103,0.23678,25,0.74386,9,5,19,747
