trial,filename,order,size,density,fitness,time(seconds),Max_degree,Min_Degree,LB,UB
1,rgg010,10,45,1.00000,27,0.03481,9,9,20,747
2,rgg010,10,45,1.00000,27,0.04869,9,9,20,747
3,rgg010,10,45,1.00000,27,0.03870,9,9,20,747
4,rgg010,10,45,1.00000,27,0.03363,9,9,20,747
5,rgg010,10,45,1.00000,27,0.04290,9,9,20,747
6,rgg010,10,45,1.00000,27,0.05878,9,9,20,747
7,rgg010,10,45,1.00000,27,0.03532,9,9,20,747
8,rgg010,10,45,1.00000,27,0.02389,9,9,20,747
9,rgg010,10,45,1.00000,27,0.02836,9,9,20,747
10,rgg010,10,45,1.00000,27,0.03888,9,9,20,747
11,rgg010,10,45,1.00000,27,0.05366,9,9,20,747
12,rgg010,10,45,1.00000,27,0.03507,9,9,20,747
13,rgg010,10,45,1.00000,27,0.03539,9,9,20,747
14,rgg010,10,45,1.00000,27,0.03051,9,9,20,747
15,rgg010,10,45,1.00000,27,0.03340,9,9,20,747
16,rgg010,10,45,1.00000,27,0.03129,9,9,20,747
17,rgg010,10,45,1.00000,27,0.02317,9,9,20,747
18,rgg010,10,45,1.00000,27,0.04117,9,9,20,747
19,rgg010,10,45,1.00000,27,0.02274,9,9,20,747
20,rgg010,10,45,1.00000,27,0.02857,9,9,20,747
21,rgg010,10,45,1.00000,27,0.03768,9,9,20,747
22,rgg010,10,45,1.00000,27,0.02866,9,9,20,747
23,rgg010,10,45,1.00000,27,0.02067,9,9,20,747
24,rgg010,10,45,1.00000,27,0.03034,9,9,20,747
25,rgg010,10,45,1.00000,27,0.03168,9,9,20,747
26,rgg010,10,45,1.00000,27,0.02348,9,9,20,747
27,rgg010,10,45,1.00000,27,0.02532,9,9,20,747
28,rgg010,10,45,1.00000,27,0.02140,9,9,20,747
29,rgg010,10,45,1.00000,27,0.02964,9,9,20,747
30,rgg010,10,45,1.00000,27,0.02127,9,9,20,747
