trial,filename,order,size,density,fitness,time(seconds),Max_degree,Min_Degree,LB,UB
1,rw136,136,373,0.04063,31,11.81140,7,2,15,357
2,rw136,136,373,0.04063,32,11.29292,7,2,15,357
3,rw136,136,373,0.04063,30,18.61615,7,2,15,357
4,rw136,136,373,0.04063,32,14.81281,7,2,15,357
5,rw136,136,373,0.04063,32,17.64887,7,2,15,357
6,rw136,136,373,0.04063,31,13.28574,7,2,15,357
7,rw136,136,373,0.04063,31,16.61847,7,2,15,357
8,rw136,136,373,0.04063,31,11.96858,7,2,15,357
9,rw136,136,373,0.04063,30,16.24757,7,2,15,357
10,rw136,136,373,0.04063,31,14.29047,7,2,15,357
11,rw136,136,373,0.04063,32,12.01639,7,2,15,357
12,rw136,136,373,0.04063,31,11.59956,7,2,15,357
13,rw136,136,373,0.04063,31,13.06190,7,2,15,357
14,rw136,136,373,0.04063,31,11.98072,7,2,15,357
15,rw136,136,373,0.04063,31,14.27447,7,2,15,357
16,rw136,136,373,0.04063,31,12.86115,7,2,15,357
17,rw136,136,373,0.04063,32,11.22795,7,2,15,357
18,rw136,136,373,0.04063,29,19.64960,7,2,15,357
19,rw136,136,373,0.04063,30,13.15047,7,2,15,357
20,rw136,136,373,0.04063,30,13.84121,7,2,15,357
21,rw136,136,373,0.04063,31,16.34648,7,2,15,357
22,rw136,136,373,0.04063,30,15.82204,7,2,15,357
23,rw136,136,373,0.04063,31,12.54533,7,2,15,357
24,rw136,136,373,0.04063,31,9.76470,7,2,15,357
25,rw136,136,373,0.04063,31,9.22594,7,2,15,357
26,rw136,136,373,0.04063,31,13.75673,7,2,15,357
27,rw136,136,373,0.04063,31,9.65265,7,2,15,357
28,rw136,136,373,0.04063,30,11.72095,7,2,15,357
29,rw136,136,373,0.04063,32,9.60226,7,2,15,357
30,rw136,136,373,0.04063,32,9.54616,7,2,15,357
