trial,filename,order,size,density,fitness,time(seconds),Max_degree,Min_Degree,LB,UB
1,tub100,100,148,0.02990,14,1.94150,3,2,7,33
2,tub100,100,148,0.02990,13,1.81645,3,2,7,33
3,tub100,100,148,0.02990,14,1.81410,3,2,7,33
4,tub100,100,148,0.02990,13,2.01445,3,2,7,33
5,tub100,100,148,0.02990,13,1.68953,3,2,7,33
6,tub100,100,148,0.02990,14,1.82893,3,2,7,33
7,tub100,100,148,0.02990,13,2.74559,3,2,7,33
8,tub100,100,148,0.02990,13,1.75084,3,2,7,33
9,tub100,100,148,0.02990,14,1.72202,3,2,7,33
10,tub100,100,148,0.02990,14,1.76621,3,2,7,33
11,tub100,100,148,0.02990,14,1.84315,3,2,7,33
12,tub100,100,148,0.02990,14,1.76460,3,2,7,33
13,tub100,100,148,0.02990,12,2.53432,3,2,7,33
14,tub100,100,148,0.02990,14,1.72283,3,2,7,33
15,tub100,100,148,0.02990,14,1.86956,3,2,7,33
16,tub100,100,148,0.02990,13,1.76006,3,2,7,33
17,tub100,100,148,0.02990,15,1.69114,3,2,7,33
18,tub100,100,148,0.02990,13,2.51641,3,2,7,33
19,tub100,100,148,0.02990,14,1.64389,3,2,7,33
20,tub100,100,148,0.02990,14,1.76774,3,2,7,33
21,tub100,100,148,0.02990,14,1.67264,3,2,7,33
22,tub100,100,148,0.02990,14,1.67992,3,2,7,33
23,tub100,100,148,0.02990,13,2.88901,3,2,7,33
24,tub100,100,148,0.02990,13,1.80685,3,2,7,33
25,tub100,100,148,0.02990,14,1.88168,3,2,7,33
26,tub100,100,148,0.02990,12,2.34232,3,2,7,33
27,tub100,100,148,0.02990,14,1.74965,3,2,7,33
28,tub100,100,148,0.02990,14,1.69525,3,2,7,33
29,tub100,100,148,0.02990,14,1.69650,3,2,7,33
30,tub100,100,148,0.02990,13,2.48761,3,2,7,33
