trial,filename,order,size,density,fitness,time(seconds),Max_degree,Min_Degree,LB,UB
1,will57,57,127,0.07957,24,2.01392,10,1,21,1020
2,will57,57,127,0.07957,26,1.20839,10,1,21,1020
3,will57,57,127,0.07957,26,1.36511,10,1,21,1020
4,will57,57,127,0.07957,26,1.41324,10,1,21,1020
5,will57,57,127,0.07957,26,1.22202,10,1,21,1020
6,will57,57,127,0.07957,26,1.29238,10,1,21,1020
7,will57,57,127,0.07957,24,2.25238,10,1,21,1020
8,will57,57,127,0.07957,24,2.92557,10,1,21,1020
9,will57,57,127,0.07957,25,1.82034,10,1,21,1020
10,will57,57,127,0.07957,26,1.93411,10,1,21,1020
11,will57,57,127,0.07957,25,2.73730,10,1,21,1020
12,will57,57,127,0.07957,25,3.05744,10,1,21,1020
13,will57,57,127,0.07957,26,2.74316,10,1,21,1020
14,will57,57,127,0.07957,25,3.30871,10,1,21,1020
15,will57,57,127,0.07957,24,2.47800,10,1,21,1020
16,will57,57,127,0.07957,26,1.62910,10,1,21,1020
17,will57,57,127,0.07957,26,2.09175,10,1,21,1020
18,will57,57,127,0.07957,26,1.65581,10,1,21,1020
19,will57,57,127,0.07957,25,1.95156,10,1,21,1020
20,will57,57,127,0.07957,25,1.45461,10,1,21,1020
21,will57,57,127,0.07957,25,2.36338,10,1,21,1020
22,will57,57,127,0.07957,26,1.50732,10,1,21,1020
23,will57,57,127,0.07957,25,1.41549,10,1,21,1020
24,will57,57,127,0.07957,26,1.44116,10,1,21,1020
25,will57,57,127,0.07957,25,1.89609,10,1,21,1020
26,will57,57,127,0.07957,26,1.31748,10,1,21,1020
27,will57,57,127,0.07957,26,1.21636,10,1,21,1020
28,will57,57,127,0.07957,25,1.42896,10,1,21,1020
29,will57,57,127,0.07957,25,1.56681,10,1,21,1020
30,will57,57,127,0.07957,26,1.25483,10,1,21,1020
