trial,filename,order,size,density,fitness,time(seconds),Max_degree,Min_Degree,LB,UB
1,CELAR6-SUB4,44,499,0.52748,89,13.31543,36,3,73,46728
2,CELAR6-SUB4,44,499,0.52748,88,6.99954,36,3,73,46728
3,CELAR6-SUB4,44,499,0.52748,86,11.89634,36,3,73,46728
4,CELAR6-SUB4,44,499,0.52748,85,13.92205,36,3,73,46728
5,CELAR6-SUB4,44,499,0.52748,85,10.53768,36,3,73,46728
6,CELAR6-SUB4,44,499,0.52748,87,14.40179,36,3,73,46728
7,CELAR6-SUB4,44,499,0.52748,91,7.01016,36,3,73,46728
8,CELAR6-SUB4,44,499,0.52748,88,6.60939,36,3,73,46728
9,CELAR6-SUB4,44,499,0.52748,87,13.47853,36,3,73,46728
10,CELAR6-SUB4,44,499,0.52748,90,10.18068,36,3,73,46728
11,CELAR6-SUB4,44,499,0.52748,87,4.93564,36,3,73,46728
12,CELAR6-SUB4,44,499,0.52748,86,5.83895,36,3,73,46728
13,CELAR6-SUB4,44,499,0.52748,90,5.65718,36,3,73,46728
14,CELAR6-SUB4,44,499,0.52748,87,6.85402,36,3,73,46728
15,CELAR6-SUB4,44,499,0.52748,84,5.54671,36,3,73,46728
16,CELAR6-SUB4,44,499,0.52748,87,6.18164,36,3,73,46728
17,CELAR6-SUB4,44,499,0.52748,92,3.18041,36,3,73,46728
18,CELAR6-SUB4,44,499,0.52748,86,6.60421,36,3,73,46728
19,CELAR6-SUB4,44,499,0.52748,87,4.66356,36,3,73,46728
20,CELAR6-SUB4,44,499,0.52748,89,2.66650,36,3,73,46728
21,CELAR6-SUB4,44,499,0.52748,87,2.91319,36,3,73,46728
22,CELAR6-SUB4,44,499,0.52748,88,3.39319,36,3,73,46728
23,CELAR6-SUB4,44,499,0.52748,85,5.05329,36,3,73,46728
24,CELAR6-SUB4,44,499,0.52748,87,3.67609,36,3,73,46728
25,CELAR6-SUB4,44,499,0.52748,88,4.08818,36,3,73,46728
26,CELAR6-SUB4,44,499,0.52748,87,5.31655,36,3,73,46728
27,CELAR6-SUB4,44,499,0.52748,87,3.43363,36,3,73,46728
28,CELAR6-SUB4,44,499,0.52748,87,4.19908,36,3,73,46728
29,CELAR6-SUB4,44,499,0.52748,90,5.61213,36,3,73,46728
30,CELAR6-SUB4,44,499,0.52748,89,3.90628,36,3,73,46728
