trial,filename,order,size,density,fitness,time(seconds),Max_degree,Min_Degree,LB,UB
1,grid_14x14,196,364,0.01905,17,6.25004,4,2,9,72
2,grid_14x14,196,364,0.01905,18,5.75264,4,2,9,72
3,grid_14x14,196,364,0.01905,18,5.90936,4,2,9,72
4,grid_14x14,196,364,0.01905,18,5.43484,4,2,9,72
5,grid_14x14,196,364,0.01905,17,5.70076,4,2,9,72
6,grid_14x14,196,364,0.01905,18,7.01925,4,2,9,72
7,grid_14x14,196,364,0.01905,18,6.43639,4,2,9,72
8,grid_14x14,196,364,0.01905,19,5.63487,4,2,9,72
9,grid_14x14,196,364,0.01905,18,5.21036,4,2,9,72
10,grid_14x14,196,364,0.01905,18,7.38377,4,2,9,72
11,grid_14x14,196,364,0.01905,18,6.54826,4,2,9,72
12,grid_14x14,196,364,0.01905,17,7.88350,4,2,9,72
13,grid_14x14,196,364,0.01905,17,6.08172,4,2,9,72
14,grid_14x14,196,364,0.01905,18,6.40374,4,2,9,72
15,grid_14x14,196,364,0.01905,18,6.38450,4,2,9,72
16,grid_14x14,196,364,0.01905,18,6.65134,4,2,9,72
17,grid_14x14,196,364,0.01905,18,6.61697,4,2,9,72
18,grid_14x14,196,364,0.01905,18,7.11909,4,2,9,72
19,grid_14x14,196,364,0.01905,18,7.59266,4,2,9,72
20,grid_14x14,196,364,0.01905,17,9.88599,4,2,9,72
21,grid_14x14,196,364,0.01905,17,11.36898,4,2,9,72
22,grid_14x14,196,364,0.01905,18,8.32317,4,2,9,72
23,grid_14x14,196,364,0.01905,18,8.23252,4,2,9,72
24,grid_14x14,196,364,0.01905,17,11.79989,4,2,9,72
25,grid_14x14,196,364,0.01905,19,7.87635,4,2,9,72
26,grid_14x14,196,364,0.01905,18,8.47313,4,2,9,72
27,grid_14x14,196,364,0.01905,17,14.43050,4,2,9,72
28,grid_14x14,196,364,0.01905,18,9.86527,4,2,9,72
29,grid_14x14,196,364,0.01905,17,16.13591,4,2,9,72
30,grid_14x14,196,364,0.01905,17,11.32901,4,2,9,72
